id,age_group,occupation,income,preference,frequency,price_sensitivity,brand_preference,brand_loyalty,persona_description
558,65+,Retired,6918,Americano,Low,High,Luckin,0.59,你是一名65+岁的Retired，生活在上海。月收入约6918元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.59。
559,55-64,Retired,3326,Tea,Low,High,Starbucks,0.28,你是一名55-64岁的Retired，生活在上海。月收入约3326元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.28。
560,35-44,Tech/Finance,23468,Latte,High,Medium,Yongbo,0.24,你是一名35-44岁的Tech/Finance，生活在上海。月收入约23468元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.24。
561,55-64,White Collar,10796,Americano,High,Medium,Luckin,0.77,你是一名55-64岁的White Collar，生活在上海。月收入约10796元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.77。
562,35-44,Tech/Finance,29081,Americano,High,Low,Arabica,0.49,你是一名35-44岁的Tech/Finance，生活在上海。月收入约29081元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对%ARABICA有一定偏好，品牌忠诚度约0.49。
563,65+,Retired,4264,Tea,Low,High,Manner,0.26,你是一名65+岁的Retired，生活在上海。月收入约4264元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.26。
564,65+,Retired,4278,Tea,Low,High,Luckin,0.54,你是一名65+岁的Retired，生活在上海。月收入约4278元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.54。
565,35-44,Tech/Finance,21051,Americano,High,Medium,Yongbo,0.64,你是一名35-44岁的Tech/Finance，生活在上海。月收入约21051元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.64。
566,35-44,White Collar,10301,Latte,High,Medium,Luckin,0.77,你是一名35-44岁的White Collar，生活在上海。月收入约10301元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.77。
567,55-64,Retired,5092,Americano,Low,High,MStand,0.57,你是一名55-64岁的Retired，生活在上海。月收入约5092元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对M Stand有一定偏好，品牌忠诚度约0.57。
568,65+,Retired,7315,Americano,Low,High,Luckin,0.71,你是一名65+岁的Retired，生活在上海。月收入约7315元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.71。
569,65+,Tech/Finance,23270,Americano,High,Medium,Luckin,0.71,你是一名65+岁的Tech/Finance，生活在上海。月收入约23270元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.71。
570,55-64,Retired,4031,Tea,Low,High,Luckin,0.2,你是一名55-64岁的Retired，生活在上海。月收入约4031元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.2。
571,35-44,White Collar,10795,Specialty,High,Medium,Luckin,0.41,你是一名35-44岁的White Collar，生活在上海。月收入约10795元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.41。
572,25-34,White Collar,11500,Latte,High,Medium,Luckin,0.46,你是一名25-34岁的White Collar，生活在上海。月收入约11500元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.46。
573,25-34,Service/Blue,5736,Latte,High,High,PiYe,0.74,你是一名25-34岁的Service/Blue，生活在上海。月收入约5736元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对皮爷咖啡有一定偏好，品牌忠诚度约0.74。
574,45-54,Freelance,4073,Latte,Medium,High,PiYe,0.75,你是一名45-54岁的Freelance，生活在上海。月收入约4073元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对皮爷咖啡有一定偏好，品牌忠诚度约0.75。
575,25-34,Tech/Finance,20947,Americano,High,Medium,Seesaw,0.35,你是一名25-34岁的Tech/Finance，生活在上海。月收入约20947元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.35。
576,35-44,Freelance,8819,Latte,Medium,Medium,Manner,0.61,你是一名35-44岁的Freelance，生活在上海。月收入约8819元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.61。
577,25-34,Service/Blue,8005,Americano,High,Medium,Luckin,0.61,你是一名25-34岁的Service/Blue，生活在上海。月收入约8005元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.61。
578,45-54,White Collar,14117,Latte,High,Medium,Tims,0.47,你是一名45-54岁的White Collar，生活在上海。月收入约14117元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Tims 天好咖啡有一定偏好，品牌忠诚度约0.47。
579,25-34,White Collar,8922,Americano,High,Medium,Manner,0.28,你是一名25-34岁的White Collar，生活在上海。月收入约8922元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.28。
580,35-44,White Collar,13602,Specialty,High,Medium,Luckin,0.7,你是一名35-44岁的White Collar，生活在上海。月收入约13602元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.7。
581,55-64,Retired,6659,Tea,Low,High,Luckin,0.76,你是一名55-64岁的Retired，生活在上海。月收入约6659元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.76。
582,25-34,White Collar,14040,Latte,High,Medium,Luckin,0.29,你是一名25-34岁的White Collar，生活在上海。月收入约14040元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.29。
583,35-44,Tech/Finance,27029,Americano,High,Low,Manner,0.75,你是一名35-44岁的Tech/Finance，生活在上海。月收入约27029元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对Manner Coffee有一定偏好，品牌忠诚度约0.75。
584,55-64,Freelance,2039,Tea,Medium,High,Yongbo,0.23,你是一名55-64岁的Freelance，生活在上海。月收入约2039元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.23。
585,25-34,Freelance,9253,Latte,High,Medium,Arabica,0.26,你是一名25-34岁的Freelance，生活在上海。月收入约9253元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对%ARABICA有一定偏好，品牌忠诚度约0.26。
586,35-44,White Collar,10865,Americano,High,Medium,Nowwa,0.63,你是一名35-44岁的White Collar，生活在上海。月收入约10865元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.63。
587,35-44,Tech/Finance,48428,Latte,High,Low,Starbucks,0.53,你是一名35-44岁的Tech/Finance，生活在上海。月收入约48428元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对星巴克有一定偏好，品牌忠诚度约0.53。
588,25-34,Freelance,15093,Latte,High,Medium,Starbucks,0.76,你是一名25-34岁的Freelance，生活在上海。月收入约15093元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.76。
589,35-44,Tech/Finance,16858,Latte,High,Medium,Seesaw,0.73,你是一名35-44岁的Tech/Finance，生活在上海。月收入约16858元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.73。
590,55-64,Retired,9198,Tea,Low,Medium,Luckin,0.8,你是一名55-64岁的Retired，生活在上海。月收入约9198元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.8。
591,25-34,Service/Blue,6587,Americano,High,High,Starbucks,0.28,你是一名25-34岁的Service/Blue，生活在上海。月收入约6587元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.28。
592,25-34,Tech/Finance,23018,Latte,High,Medium,Nowwa,0.27,你是一名25-34岁的Tech/Finance，生活在上海。月收入约23018元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.27。
593,65+,Retired,4780,Tea,Low,High,Arabica,0.78,你是一名65+岁的Retired，生活在上海。月收入约4780元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对%ARABICA有一定偏好，品牌忠诚度约0.78。
594,65+,White Collar,7818,Americano,High,High,Luckin,0.8,你是一名65+岁的White Collar，生活在上海。月收入约7818元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.8。
595,45-54,Service/Blue,8940,Americano,Medium,Medium,Nowwa,0.26,你是一名45-54岁的Service/Blue，生活在上海。月收入约8940元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.26。
596,25-34,Freelance,12844,Latte,High,Medium,MStand,0.8,你是一名25-34岁的Freelance，生活在上海。月收入约12844元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对M Stand有一定偏好，品牌忠诚度约0.8。
597,55-64,Service/Blue,7049,Tea,Medium,High,Luckin,0.51,你是一名55-64岁的Service/Blue，生活在上海。月收入约7049元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.51。
598,35-44,Tech/Finance,18336,Americano,High,Medium,Starbucks,0.37,你是一名35-44岁的Tech/Finance，生活在上海。月收入约18336元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.37。
599,55-64,Retired,5418,Americano,Low,High,Luckin,0.45,你是一名55-64岁的Retired，生活在上海。月收入约5418元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.45。
600,35-44,Freelance,3644,Americano,Medium,High,Luckin,0.78,你是一名35-44岁的Freelance，生活在上海。月收入约3644元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.78。
601,25-34,Freelance,4160,Latte,High,High,Manner,0.36,你是一名25-34岁的Freelance，生活在上海。月收入约4160元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.36。
602,65+,Retired,5919,Tea,Low,High,Seesaw,0.35,你是一名65+岁的Retired，生活在上海。月收入约5919元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.35。
603,45-54,White Collar,16756,Latte,High,Medium,MStand,0.58,你是一名45-54岁的White Collar，生活在上海。月收入约16756元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对M Stand有一定偏好，品牌忠诚度约0.58。
604,45-54,Service/Blue,6892,Specialty,Medium,High,Manner,0.79,你是一名45-54岁的Service/Blue，生活在上海。月收入约6892元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.79。
605,18-24,Student,1884,Specialty,Medium,High,Yongbo,0.73,你是一名18-24岁的Student，生活在上海。月收入约1884元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.73。
606,45-54,White Collar,9604,Americano,High,Medium,Luckin,0.56,你是一名45-54岁的White Collar，生活在上海。月收入约9604元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.56。
607,55-64,Service/Blue,5678,Tea,Medium,High,Luckin,0.35,你是一名55-64岁的Service/Blue，生活在上海。月收入约5678元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.35。
608,35-44,Tech/Finance,19547,Americano,High,Medium,Arabica,0.49,你是一名35-44岁的Tech/Finance，生活在上海。月收入约19547元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对%ARABICA有一定偏好，品牌忠诚度约0.49。
609,25-34,Freelance,17309,Specialty,High,Medium,Luckin,0.65,你是一名25-34岁的Freelance，生活在上海。月收入约17309元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.65。
610,25-34,White Collar,10786,Latte,High,Medium,Yongbo,0.65,你是一名25-34岁的White Collar，生活在上海。月收入约10786元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.65。
611,35-44,Tech/Finance,39342,Americano,High,Low,Nowwa,0.62,你是一名35-44岁的Tech/Finance，生活在上海。月收入约39342元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.62。
612,65+,Tech/Finance,36502,Latte,High,Low,Luckin,0.4,你是一名65+岁的Tech/Finance，生活在上海。月收入约36502元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.4。
613,65+,Retired,2835,Tea,Low,High,Luckin,0.47,你是一名65+岁的Retired，生活在上海。月收入约2835元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.47。
614,25-34,Service/Blue,10311,Latte,High,Medium,Nowwa,0.7,你是一名25-34岁的Service/Blue，生活在上海。月收入约10311元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.7。
615,35-44,White Collar,16297,Latte,High,Medium,MStand,0.28,你是一名35-44岁的White Collar，生活在上海。月收入约16297元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对M Stand有一定偏好，品牌忠诚度约0.28。
616,55-64,Tech/Finance,27568,Americano,High,Low,Arabica,0.42,你是一名55-64岁的Tech/Finance，生活在上海。月收入约27568元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对%ARABICA有一定偏好，品牌忠诚度约0.42。
617,25-34,Freelance,10024,Americano,High,Medium,Luckin,0.36,你是一名25-34岁的Freelance，生活在上海。月收入约10024元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.36。
618,25-34,Freelance,4403,Americano,High,High,Starbucks,0.34,你是一名25-34岁的Freelance，生活在上海。月收入约4403元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.34。
619,35-44,Freelance,2635,Specialty,Medium,High,Starbucks,0.73,你是一名35-44岁的Freelance，生活在上海。月收入约2635元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.73。
620,25-34,White Collar,23880,Latte,High,Medium,Seesaw,0.34,你是一名25-34岁的White Collar，生活在上海。月收入约23880元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.34。
621,35-44,White Collar,10331,Latte,High,Medium,Luckin,0.78,你是一名35-44岁的White Collar，生活在上海。月收入约10331元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.78。
622,55-64,Retired,6744,Americano,Low,High,Luckin,0.39,你是一名55-64岁的Retired，生活在上海。月收入约6744元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.39。
623,35-44,Service/Blue,9492,Americano,Medium,Medium,Manner,0.34,你是一名35-44岁的Service/Blue，生活在上海。月收入约9492元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.34。
624,18-24,Student,1500,Latte,Medium,High,Starbucks,0.34,你是一名18-24岁的Student，生活在上海。月收入约1500元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.34。
625,45-54,Freelance,3354,Latte,Medium,High,Luckin,0.75,你是一名45-54岁的Freelance，生活在上海。月收入约3354元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.75。
626,25-34,White Collar,17089,Specialty,High,Medium,Luckin,0.66,你是一名25-34岁的White Collar，生活在上海。月收入约17089元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.66。
627,45-54,Tech/Finance,43856,Americano,High,Low,Manner,0.41,你是一名45-54岁的Tech/Finance，生活在上海。月收入约43856元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Low。你对Manner Coffee有一定偏好，品牌忠诚度约0.41。
628,25-34,White Collar,8104,Latte,High,Medium,Yongbo,0.61,你是一名25-34岁的White Collar，生活在上海。月收入约8104元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.61。
629,25-34,Service/Blue,5531,Specialty,High,High,Starbucks,0.35,你是一名25-34岁的Service/Blue，生活在上海。月收入约5531元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.35。
630,45-54,White Collar,8290,Latte,High,Medium,Nowwa,0.6,你是一名45-54岁的White Collar，生活在上海。月收入约8290元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.6。
631,45-54,White Collar,15123,Specialty,High,Medium,Luckin,0.41,你是一名45-54岁的White Collar，生活在上海。月收入约15123元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.41。
632,65+,Retired,5324,Tea,Low,High,Yongbo,0.74,你是一名65+岁的Retired，生活在上海。月收入约5324元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.74。
633,35-44,Tech/Finance,29868,Latte,High,Low,Luckin,0.25,你是一名35-44岁的Tech/Finance，生活在上海。月收入约29868元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.25。
634,25-34,White Collar,12186,Americano,High,Medium,Yongbo,0.59,你是一名25-34岁的White Collar，生活在上海。月收入约12186元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.59。
635,18-24,Tech/Finance,30840,Latte,High,Low,Starbucks,0.69,你是一名18-24岁的Tech/Finance，生活在上海。月收入约30840元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对星巴克有一定偏好，品牌忠诚度约0.69。
636,35-44,White Collar,11751,Latte,High,Medium,Manner,0.51,你是一名35-44岁的White Collar，生活在上海。月收入约11751元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.51。
637,65+,Retired,9184,Tea,Low,Medium,Seesaw,0.22,你是一名65+岁的Retired，生活在上海。月收入约9184元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.22。
638,25-34,White Collar,12225,Specialty,High,Medium,Luckin,0.72,你是一名25-34岁的White Collar，生活在上海。月收入约12225元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.72。
639,55-64,Freelance,11985,Tea,Medium,Medium,Luckin,0.6,你是一名55-64岁的Freelance，生活在上海。月收入约11985元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.6。
640,35-44,Freelance,6463,Latte,Medium,High,Manner,0.46,你是一名35-44岁的Freelance，生活在上海。月收入约6463元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.46。
641,35-44,White Collar,18181,Latte,High,Medium,Luckin,0.77,你是一名35-44岁的White Collar，生活在上海。月收入约18181元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.77。
642,55-64,Tech/Finance,22550,Latte,High,Medium,Seesaw,0.45,你是一名55-64岁的Tech/Finance，生活在上海。月收入约22550元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.45。
643,65+,Retired,4211,Americano,Low,High,Luckin,0.79,你是一名65+岁的Retired，生活在上海。月收入约4211元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.79。
644,25-34,Service/Blue,7099,Latte,High,High,Yongbo,0.35,你是一名25-34岁的Service/Blue，生活在上海。月收入约7099元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.35。
645,25-34,Service/Blue,10638,Americano,High,Medium,Seesaw,0.64,你是一名25-34岁的Service/Blue，生活在上海。月收入约10638元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.64。
646,55-64,White Collar,12538,Tea,High,Medium,Luckin,0.79,你是一名55-64岁的White Collar，生活在上海。月收入约12538元。你对咖啡的需求频率是High。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.79。
647,65+,Retired,7898,Tea,Low,High,Luckin,0.34,你是一名65+岁的Retired，生活在上海。月收入约7898元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.34。
648,45-54,Tech/Finance,15134,Americano,High,Medium,PiYe,0.64,你是一名45-54岁的Tech/Finance，生活在上海。月收入约15134元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对皮爷咖啡有一定偏好，品牌忠诚度约0.64。
649,35-44,Tech/Finance,18429,Americano,High,Medium,Luckin,0.65,你是一名35-44岁的Tech/Finance，生活在上海。月收入约18429元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.65。
650,65+,Retired,6067,Americano,Low,High,Luckin,0.29,你是一名65+岁的Retired，生活在上海。月收入约6067元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.29。
651,55-64,Freelance,6796,Tea,Medium,High,Luckin,0.62,你是一名55-64岁的Freelance，生活在上海。月收入约6796元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.62。
652,25-34,Service/Blue,8866,Latte,High,Medium,Luckin,0.6,你是一名25-34岁的Service/Blue，生活在上海。月收入约8866元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.6。
653,65+,Retired,15879,Tea,Low,Medium,Starbucks,0.61,你是一名65+岁的Retired，生活在上海。月收入约15879元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.61。
654,18-24,Student,2566,Latte,Medium,High,Luckin,0.75,你是一名18-24岁的Student，生活在上海。月收入约2566元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.75。
655,25-34,Freelance,2942,Specialty,High,High,Luckin,0.59,你是一名25-34岁的Freelance，生活在上海。月收入约2942元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.59。
656,25-34,White Collar,17073,Latte,High,Medium,Starbucks,0.55,你是一名25-34岁的White Collar，生活在上海。月收入约17073元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.55。
